public_date,gicdesc,NFIRM,futchangeNPM,indret_vw,dpr_Mean,PEG_trailing_Mean,bm_Mean,CAPEI_Mean,divyield_Mean,evm_Mean,pcf_Mean,pe_exi_Mean,pe_inc_Mean,pe_op_basic_Mean,pe_op_dil_Mean,ps_Mean,ptb_Mean,efftax_Mean,GProf_Mean,aftret_eq_Mean,aftret_equity_Mean,aftret_invcapx_Mean,gpm_Mean,npm_Mean,opmad_Mean,opmbd_Mean,pretret_earnat_Mean,pretret_noa_Mean,ptpm_Mean,roa_Mean,roce_Mean,roe_Mean,capital_ratio_Mean,equity_invcap_Mean,debt_invcap_Mean,totdebt_invcap_Mean,invt_act_Mean,rect_act_Mean,fcf_ocf_Mean,ocf_lct_Mean,cash_debt_Mean,cash_lt_Mean,cfm_Mean,short_debt_Mean,profit_lct_Mean,curr_debt_Mean,debt_ebitda_Mean,dltt_be_Mean,int_debt_Mean,int_totdebt_Mean,lt_debt_Mean,lt_ppent_Mean,de_ratio_Mean,debt_assets_Mean,debt_at_Mean,debt_capital_Mean,intcov_Mean,intcov_ratio_Mean,cash_conversion_Mean,cash_ratio_Mean,curr_ratio_Mean,quick_ratio_Mean,at_turn_Mean,inv_turn_Mean,pay_turn_Mean,rect_turn_Mean,sale_equity_Mean,sale_invcap_Mean,sale_nwc_Mean,accrual_Mean,rd_sale_Mean,adv_sale_Mean,staff_sale_Mean
30/6/1999,Communication Services,117,1,0.054565,0.301,1.569,0.361,13.074,0.0212,2.873,-2.6,-20.024,-40.601,-7.807,-22.007,15.625,9.425,0.421,0.195,3.978,4.782,-0.261,-1.427,-4.523,-3.197,-2.732,-0.09,-0.113,-4.66,0.026,-0.124,-1.17,0.685,0.238,0.676,0.815,0.055,0.419,-2.743,-0.294,-0.165,0.456,-4.016,0.145,0.12,0.336,-0.281,3.644,0.588,0.095,0.586,2.583,0.935,0.713,0.509,0.682,-0.906,0.288,51.485,1.58,2.432,2.321,0.602,55.873,6.21,6.144,2.834,1.382,12.041,-0.119,1.095,0.137,0.009
30/6/1999,Consumer Discretionary,1213,1,0.05615,0.161,0.645,0.855,72.114,0.019,9.776,7.657,-3.356,-5.853,-6.398,0.005,3.033,3.237,0.345,0.429,-0.012,-0.018,-0.003,0.169,-0.426,-0.375,-0.294,0.062,0.175,-0.399,0.099,0.191,-0.211,0.329,0.659,0.317,0.438,0.356,0.307,-1.194,0.241,0.084,0.463,-0.408,0.316,0.498,0.577,3.1,1.152,0.958,0.144,0.354,5.182,2.417,0.537,0.29,0.47,12.773,28.953,130.937,0.72,2.383,1.544,1.49,23.646,13.334,58.938,5.397,2.475,29.005,-0.052,0.128,0.023,0.022
30/6/1999,Consumer Staples,281,0,-0.010385,0.244,1.747,0.695,22.661,0.0207,7.466,11.227,-16.585,-19.42,-30.505,-4.417,1.033,3.895,0.345,0.555,0.152,0.188,0.075,0.354,0.007,0.053,0.086,0.121,0.169,0.027,0.132,0.112,0.064,0.365,0.6,0.371,0.498,0.439,0.321,-0.512,0.333,0.186,0.299,0.046,0.259,0.647,0.507,0.708,1.094,0.229,0.082,0.389,2.987,2.312,0.577,0.316,0.486,26.632,46.161,94.057,0.536,2.271,1.313,1.755,8.258,12.039,24.457,6.183,2.862,31.724,-0.038,0.007,0.033,0.004
30/6/1999,Energy,235,1,0.001533,0.407,0.702,0.944,18.062,0.0293,26.818,8.351,-30.871,-29.651,-22.22,-11.846,3.303,2.226,0.348,0.124,0.173,0.144,-0.062,0.104,-0.61,-0.557,-0.171,-0.074,-0.513,-0.654,0.041,-0.069,-0.277,0.393,0.587,0.389,0.523,0.135,0.511,-5.834,0.627,0.074,0.397,-0.192,0.183,0.211,0.369,6.864,0.978,0.364,0.102,0.491,1.034,0.259,0.535,0.348,0.48,27.963,28.727,64.432,1.017,2.151,1.894,0.699,95.906,7.264,6.685,2.083,1.285,53.031,-0.16,0.002,0,0.02
30/6/1999,Financials,1111,0,0.032834,0.195,2.133,0.78,28.371,0.0238,11.678,3.974,11.892,8.67,16.866,16.44,2.869,2.06,0.308,0.063,0.094,0.089,0.04,0.402,0.034,0.18,0.216,0.064,0.402,0.082,0.042,0.198,0.734,0.347,0.652,0.352,0.663,0.101,0.383,-0.987,-0.161,0.031,0.269,0.073,0.378,0.083,0.602,4.94,1.062,0.639,0.15,0.157,214.334,8.033,0.81,0.178,0.753,10.993,16.833,806.484,1.509,3.16,2.736,0.23,75.656,6.94,3.38,1.233,0.787,18.764,0.006,0.006,0.007,0.157
30/6/1999,Health Care,813,0,0.040891,0.133,0.009,0.603,1.282,0.0151,6.455,3.122,-102.54,-99.904,-130.81,-36.094,13.916,5.471,0.333,0.118,0.035,-0.49,-0.207,-4.833,-5.238,-5.046,-4.686,-0.276,-0.235,-5.207,-0.148,-0.97,-0.464,0.221,0.719,0.219,0.296,0.147,0.282,-1.01,-1.175,-0.977,2.636,-4.893,0.356,-1.18,0.666,0.694,0.903,0.464,0.884,0.274,7.482,0.73,0.408,0.198,0.339,-208.19,-189.9,229.532,3.457,4.998,4.481,0.831,33.389,13.54,10.524,2.384,1.366,6.986,-0.085,3.553,0.023,0.033
30/6/1999,Industrials,1032,0,0.060139,0.184,0.8,0.809,46.75,0.0189,7.994,9.029,-14.105,-16.197,-21.23,2.087,2.396,2.992,0.337,0.361,0.056,0.081,-0.804,0.222,-0.112,-0.061,-0.005,0.096,0.117,-0.095,0.119,0.103,-0.041,0.31,0.684,0.292,0.387,0.235,0.463,-1.772,0.257,0.12,0.464,-0.05,0.277,0.535,0.572,3.842,2.58,0.631,0.121,0.329,8.137,1.589,0.529,0.254,0.443,13.67,23.537,106.425,0.679,2.337,1.774,1.404,32.685,17.334,7.639,10.279,2.553,22.152,-0.04,0.034,0.004,0.049
30/6/1999,Information Technology,1271,1,0.12292,0.061,1.154,0.582,75.109,0.0139,9.319,6.129,-82.37,-78.138,-99.494,-17.813,9.073,6.023,0.497,0.46,-0.436,-0.648,-0.299,-1.209,-1.885,-1.821,-1.704,-0.119,1.01,-1.871,-0.044,0.046,-0.547,0.126,0.776,0.149,0.308,0.175,0.347,-1.747,-0.151,-0.102,1.69,-1.648,0.472,-0.114,0.794,0.629,0.315,1.412,0.196,0.159,4.593,0.828,0.675,0.171,0.271,15.346,77.609,168.32,1.995,3.653,3.105,1.192,28.395,9.27,5.797,2.656,2.589,11.05,-0.09,0.509,0.028,0.006
30/6/1999,Materials,300,1,0.025869,0.758,1.775,0.947,13.859,0.0218,5.774,4.355,1.366,1.267,-17.436,6.686,2.88,2.477,0.384,0.25,-0.053,-0.049,0.036,-0.106,-0.442,-0.409,-0.326,0.062,0.088,-0.437,0.097,0.069,0.021,0.387,0.585,0.388,0.479,0.369,0.378,-0.432,0.149,0.093,0.767,-0.081,0.218,0.18,0.403,2.801,1.416,0.437,0.107,0.406,2.442,-1.048,0.567,0.302,0.491,4.502,3.853,94.333,1.473,3.241,2.436,1.012,6.252,10.416,18.398,3.324,1.62,12.623,-0.064,0.026,0.002,0.01
30/6/1999,Utilities,162,0,-0.032512,0.136,4.315,0.951,20.525,0.0459,7.378,8.386,14.568,18.798,13.417,14.038,1.381,1.456,0.35,0.111,0.125,0.127,0.076,0.254,0.048,0.137,0.227,0.086,0.108,0.084,0.109,0.101,0.067,0.506,0.468,0.502,0.598,0.178,0.464,-0.093,0.534,0.107,0.041,0.141,0.154,0.846,0.224,3.704,1.147,0.087,0.073,0.481,1.715,2.949,0.679,0.387,0.579,2.145,2.602,30.761,0.257,1.031,0.86,0.532,47.022,10.816,9.447,1.953,0.834,49.149,-0.039,0,0,0.022
